City #,City,Country,Date,Latitude,Longitude,Max Temperature,Cloudiness,Humidity,Wind Speed
0,Taveta,KE,1580233299,-3.4,37.67,77.0,75,78,5.82
1,Butajira,ET,1580233300,8.12,38.37,66.99,64,61,15.48
2,Khatanga,RU,1580233301,71.97,102.5,-5.8,81,97,7.99
3,Ponta do Sol,PT,1580233301,32.67,-17.1,66.2,20,59,6.93
4,Thompson,CA,1580233302,55.74,-97.86,14.0,90,85,4.7
5,Clyde River,CA,1580233303,70.47,-68.59,-20.2,40,75,18.34
6,Hilo,US,1580233304,19.73,-155.09,64.99,1,77,4.7
7,Te Anau,NZ,1580233304,-45.42,167.72,54.73,93,85,6.62
8,Hobart,AU,1580233161,-42.88,147.33,62.6,40,67,12.75
9,Ushuaia,AR,1580233015,-54.8,-68.3,50.0,75,81,27.51
10,Beringovskiy,RU,1580233307,63.05,179.32,-1.39,98,99,8.03
11,Tuatapere,NZ,1580233307,-46.13,167.68,57.0,68,83,1.99
12,Macherla,IN,1580233308,16.48,79.43,74.07,85,83,13.89
13,Atherton,GB,1580233309,53.52,-2.49,42.8,90,80,13.87
14,Anaconda,US,1580233309,46.13,-112.94,30.99,90,79,8.68
15,Lhokseumawe,ID,1580233310,5.18,97.15,70.63,100,97,3.62
16,Hong Kong,HK,1580233104,22.29,114.16,57.2,20,47,10.29
17,Dryden,CA,1580233311,49.78,-92.75,10.4,90,85,5.82
18,Provideniya,RU,1580233312,64.38,-173.3,-7.92,0,65,5.79
19,Kaitangata,NZ,1580233312,-46.28,169.85,57.67,100,89,11.77
20,Broken Hill,AU,1580233313,-31.95,141.43,77.0,0,17,10.29
21,Rikitea,PF,1580233314,-23.12,-134.97,79.0,100,79,11.34
22,Avarua,CK,1580233053,-21.21,-159.78,77.0,18,100,3.36
23,Punta Arenas,CL,1580233315,-53.15,-70.92,53.6,40,50,41.38
24,Ambovombe,MG,1580233315,-25.17,46.08,72.0,8,96,4.74
25,Mataura,NZ,1580233316,-46.19,168.86,57.0,100,83,1.99
26,Labuhan,ID,1580233317,-6.88,112.21,76.93,51,89,1.81
27,Mozarlandia,BR,1580233318,-14.74,-50.57,74.7,100,93,14.41
28,Vaini,TO,1580233318,-21.2,-175.2,71.6,20,100,2.24
29,East London,ZA,1580233319,-33.02,27.91,69.8,0,73,3.36
30,Port Alfred,ZA,1580233320,-33.59,26.89,66.99,0,75,1.99
31,Albany,US,1580233161,42.6,-73.97,37.99,90,55,11.41
32,Jalingo,NG,1580233321,8.88,11.37,80.24,14,12,5.82
33,Rawson,AR,1580233199,-43.3,-65.1,60.1,33,70,20.83
34,Carbonia,IT,1580233322,39.17,8.52,60.01,75,87,10.29
35,Guerrero Negro,MX,1580233323,27.98,-114.06,69.12,0,33,3.85
36,Port Lincoln,AU,1580233323,-34.73,135.87,65.84,0,77,5.46
37,Hermanus,ZA,1580233304,-34.42,19.23,66.99,3,87,8.01
38,Bambous Virieux,MU,1580233325,-20.34,57.76,77.0,40,69,7.2
39,Salalah,OM,1580233326,17.02,54.09,69.8,0,18,10.29
40,Cherskiy,RU,1580233326,68.75,161.3,-22.32,100,97,10.16
41,New Norfolk,AU,1580233327,-42.78,147.06,62.6,40,67,12.75
42,Broome,US,1580233328,42.25,-75.83,35.01,90,86,12.75
43,Torbay,CA,1580233328,47.67,-52.73,33.01,90,100,11.41
44,Tuktoyaktuk,CA,1580233329,69.45,-133.04,-25.6,40,74,9.17
45,Mar del Plata,AR,1580233326,-38.0,-57.56,87.01,11,30,21.92
46,Kisangani,CD,1580233330,0.52,25.2,80.82,80,46,1.45
47,Port Elizabeth,ZA,1580233331,-33.92,25.57,68.0,0,72,17.22
48,Melilla,ES,1580233332,35.29,-2.94,62.6,28,63,11.41
49,Bluff,NZ,1580233332,-46.6,168.33,57.0,86,83,1.99
50,Yellowknife,CA,1580233333,62.46,-114.35,1.99,90,77,6.93
51,Stolin,BY,1580233334,51.89,26.85,34.93,63,92,9.53
52,Tiksi,RU,1580233334,71.69,128.87,-23.21,97,87,4.18
53,Carnarvon,AU,1580233335,-24.87,113.63,77.0,0,94,17.22
54,Omsukchan,RU,1580233336,62.53,155.8,2.7,100,98,6.42
55,Qaanaaq,GL,1580233336,77.48,-69.36,-11.74,96,80,2.01
56,Nikolskoye,RU,1580233337,59.7,30.79,32.0,90,95,8.95
